File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-15-01-24-25/step-00700.pickle,8,221,1518,1989,27,42210,2070
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-08-12-23-24-42/step-00700.pickle,559,956,15241,10454,4934,11597,5752
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-08-13-00-36-58/step-00700.pickle,436,966,10212,7513,2253,18813,9446
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-08-13-01-56-06/step-00700.pickle,394,934,11141,4329,3070,18239,11020
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-08-13-02-58-45/step-00700.pickle,341,925,6629,7314,2307,24017,7849
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-08-13-03-39-12/step-00700.pickle,225,865,8451,3379,4054,24994,6852
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-08-13-04-40-45/step-00700.pickle,182,853,6316,7735,2060,21929,9890
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-08-13-05-40-34/step-00700.pickle,116,810,5662,3663,1474,32022,5219
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-08-13-06-42-13/step-00700.pickle,63,634,5623,1660,280,35488,4761
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-08-13-07-29-02/step-00700.pickle,46,507,2016,3046,105,38779,4131
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-08-13-08-20-19/step-00700.pickle,14,352,1043,1620,23,42728,2702
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-08-12-16-36-47/step-00700.pickle,1556,0,24157,9470,14222,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-08-13-09-09-35/step-00700.pickle,3,176,257,347,9,47025,403
