File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-21-15-56-16/step-00700.pickle,0,11,996,1148,0,45713,28
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-08-20-15-26-52/step-00700.pickle,47,59,11992,8666,230,27004,181
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-08-20-15-40-31/step-00700.pickle,32,64,10833,12059,403,24541,345
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-08-20-15-54-05/step-00700.pickle,28,66,9702,10361,61,27998,238
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-08-20-16-07-41/step-00700.pickle,30,57,11115,12735,427,22641,1016
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-08-20-16-21-22/step-00700.pickle,16,69,6869,10434,43,30503,361
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-08-20-16-35-03/step-00700.pickle,14,64,5194,2998,40,39142,914
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-08-20-16-48-39/step-00700.pickle,6,64,6049,4636,8,37459,165
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-08-20-17-02-11/step-00700.pickle,3,49,4685,2846,6,39561,192
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-08-20-17-15-58/step-00700.pickle,2,30,3061,5290,3,39274,83
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-08-20-18-35-44/step-00700.pickle,1,26,2150,723,1,43366,1317
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-08-20-13-22-33/step-00700.pickle,151,0,25679,21963,964,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-08-20-18-49-18/step-00700.pickle,0,10,479,2340,0,45761,41
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-08-20-19-05-00/step-00700.pickle,135,0,22755,24312,1007,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-08-20-19-20-15/step-00700.pickle,120,15,20512,23849,1837,1637,24
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_23rep_2_BlockerPercent_10_24-08-20-19-34-28/step-00700.pickle,101,32,26906,14168,1251,5552,103
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_24rep_2_BlockerPercent_15_24-08-20-22-46-39/step-00700.pickle,86,30,19161,20921,566,7055,291
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_25rep_2_BlockerPercent_20_24-08-20-23-00-21/step-00700.pickle,83,37,18521,18706,264,10451,80
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_26rep_2_BlockerPercent_25_24-08-20-23-14-02/step-00700.pickle,66,37,18739,18445,135,10584,92
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_27rep_2_BlockerPercent_30_24-08-20-23-27-43/step-00700.pickle,69,65,12451,18570,261,16524,195
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_28rep_2_BlockerPercent_35_24-08-20-23-41-17/step-00700.pickle,56,48,13681,13660,275,19269,314
