File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-20-12-37-54/step-00700.pickle,37,551,2050,1368,39,41804,2582
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-08-19-15-03-09/step-00700.pickle,2884,2718,12251,6008,6290,17128,6203
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-08-19-15-17-24/step-00700.pickle,2354,2550,11870,10101,4474,16290,5013
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-08-19-15-31-43/step-00700.pickle,2125,2740,12213,7202,3579,19030,5863
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-08-19-15-46-00/step-00700.pickle,1441,2681,13915,2414,4780,20436,6356
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-08-19-16-00-20/step-00700.pickle,1242,2449,6882,9021,2889,24256,4939
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-08-19-16-14-34/step-00700.pickle,794,2040,3252,5867,1076,33065,4645
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-08-19-16-28-41/step-00700.pickle,650,1762,4605,2098,767,35907,4688
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-08-19-16-42-46/step-00700.pickle,665,1480,3637,5286,1362,34300,3323
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-08-19-16-56-50/step-00700.pickle,147,1155,2664,2244,169,39103,3565
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-08-19-17-10-54/step-00700.pickle,59,916,1549,1746,71,43238,1394
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-08-19-12-51-45/step-00700.pickle,7997,0,18987,12192,16757,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-08-19-17-24-57/step-00700.pickle,12,457,1325,845,17,45334,672
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-08-19-17-39-00/step-00700.pickle,7310,0,26147,8832,13143,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-08-19-17-54-04/step-00700.pickle,7038,506,23905,7177,14641,1465,860
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_23rep_2_BlockerPercent_10_24-08-19-18-09-10/step-00700.pickle,6373,1031,21625,4971,15126,3574,2439
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_24rep_2_BlockerPercent_15_24-08-19-18-24-13/step-00700.pickle,4916,1398,21470,7104,12278,4497,2665
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_25rep_2_BlockerPercent_20_24-08-19-18-38-58/step-00700.pickle,6009,1567,18363,11694,12415,3307,2011
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_26rep_2_BlockerPercent_25_24-08-19-18-53-35/step-00700.pickle,4925,2062,18824,4618,10183,10729,3651
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_27rep_2_BlockerPercent_30_24-08-19-19-07-58/step-00700.pickle,4375,2003,15469,15649,9596,3826,3243
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_28rep_2_BlockerPercent_35_24-08-19-19-22-20/step-00700.pickle,3409,2492,14028,5642,6158,14178,7763
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_29rep_2_BlockerPercent_40_24-08-19-19-36-29/step-00700.pickle,3159,2696,21424,4686,7258,10682,4212
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_2rep_1_BlockerPercent_5_24-08-19-13-07-07/step-00700.pickle,6178,463,24355,6644,14099,2277,739
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_30rep_2_BlockerPercent_45_24-08-19-19-50-41/step-00700.pickle,2511,2706,11236,6771,4129,18672,6865
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_31rep_2_BlockerPercent_50_24-08-19-20-04-41/step-00700.pickle,2326,2781,11327,7648,3703,20328,4711
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_32rep_2_BlockerPercent_55_24-08-19-20-18-38/step-00700.pickle,1753,2848,11303,5323,3762,20242,7458
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_33rep_2_BlockerPercent_60_24-08-19-20-32-30/step-00700.pickle,1618,2374,9475,7355,4478,20821,5685
