File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-07-05-09-21-38/step-00700.pickle,9,765,1484,27,45557
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-07-01-18-29-42/step-00700.pickle,600,11112,8249,8041,20628
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-07-01-18-43-18/step-00700.pickle,499,12256,8270,5362,22298
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-07-01-20-07-29/step-00700.pickle,437,11544,3696,5153,27813
C://Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-07-01-20-53-09/step-00700.pickle,334,7108,9169,3793,27939
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-07-01-21-22-13/step-00700.pickle,291,9077,7125,3862,28072
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-07-01-21-35-41/step-00700.pickle,222,7249,6014,2245,32514
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-07-01-21-49-08/step-00700.pickle,152,5870,3493,3580,34697
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-07-01-22-02-33/step-00700.pickle,124,6184,1426,392,39738
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-07-01-23-17-17/step-00700.pickle,76,4021,3315,2920,37400
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-07-01-23-30-44/step-00700.pickle,25,2080,2041,95,43481
