File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-06-26-21-43-11/step-00700.pickle,7,621,1941,924,44250
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-06-22-01-34-51/step-00700.pickle,570,14189,5090,3970,24485
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-06-22-01-48-52/step-00700.pickle,506,10419,10327,3798,23336
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-06-22-02-02-44/step-00700.pickle,387,10207,4261,3108,30631
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-06-22-02-16-34/step-00700.pickle,366,8906,5028,4313,29219
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-06-22-02-30-06/step-00700.pickle,289,4260,2425,3332,37415
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-06-22-02-43-28/step-00700.pickle,234,7956,6421,1415,31671
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-06-22-02-56-48/step-00700.pickle,146,3176,5699,3036,36465
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-06-22-03-09-54/step-00700.pickle,115,4113,3095,652,39615
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-06-22-03-23-10/step-00700.pickle,71,3324,4645,1213,38866
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-06-22-03-36-20/step-00700.pickle,24,919,948,75,46484
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-06-21-21-54-25/step-00700.pickle,1314,20370,8795,18754,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-06-22-03-49-24/step-00700.pickle,9,1387,277,18,46362
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-06-22-04-02-36/step-00700.pickle,1313,25138,7313,15378,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-06-22-04-16-25/step-00700.pickle,1230,24929,3862,16195,2807
