File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-19-05-32-52/step-00700.pickle,3,504,1954,5,45333,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-08-18-00-41-44/step-00700.pickle,775,13453,6858,2407,25050,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-08-18-00-55-49/step-00700.pickle,852,13553,3812,7490,23136,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-08-18-01-09-50/step-00700.pickle,782,10909,2908,5334,28785,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-08-18-01-23-56/step-00700.pickle,426,10379,5874,3763,28084,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-08-18-01-37-55/step-00700.pickle,356,7084,3860,4813,32263,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-08-18-01-52-00/step-00700.pickle,337,8151,3737,3042,32566,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-08-18-02-06-03/step-00700.pickle,348,5512,5777,3181,33359,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-08-18-02-19-50/step-00700.pickle,165,3433,6034,1261,37114,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-08-18-02-33-35/step-00700.pickle,54,2812,2444,190,42848,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-08-18-02-47-10/step-00700.pickle,24,2792,2074,52,42958,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-08-17-22-31-02/step-00700.pickle,2580,20925,1805,25777,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-08-18-03-00-54/step-00700.pickle,24,316,414,87,47069,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-08-18-03-14-32/step-00700.pickle,2555,29687,2247,16216,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-08-18-03-29-19/step-00700.pickle,2589,16076,3574,26370,2045,0
