File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-17-16-59-02/step-00700.pickle,21,1539,1275,104,45046,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-08-15-20-27-27/step-00700.pickle,1027,11487,53,14679,21945,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-08-15-20-41-12/step-00700.pickle,1082,15205,32,10050,22627,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-08-15-20-54-53/step-00700.pickle,890,11421,350,12679,23418,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-08-15-21-08-28/step-00700.pickle,718,10793,306,8575,28095,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-08-15-21-22-03/step-00700.pickle,1013,10652,757,9475,27270,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-08-15-21-35-36/step-00700.pickle,510,8238,2020,4309,33576,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-08-15-21-48-56/step-00700.pickle,920,7904,3012,4116,32945,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-08-15-22-02-15/step-00700.pickle,241,3718,1836,2925,39485,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-08-15-22-15-28/step-00700.pickle,270,3180,1678,2836,40367,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-08-15-22-28-38/step-00700.pickle,249,2420,893,488,43949,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-08-15-18-20-58/step-00700.pickle,1240,26402,0,21630,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-08-15-22-41-48/step-00700.pickle,99,2707,2028,144,43066,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-08-15-22-54-53/step-00700.pickle,1229,27318,0,20563,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-08-15-23-09-12/step-00700.pickle,1172,21327,0,23841,2912,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_23rep_2_BlockerPercent_10_24-08-15-23-23-26/step-00700.pickle,1169,21001,0,20528,6473,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_24rep_2_BlockerPercent_15_24-08-15-23-37-33/step-00700.pickle,1167,19347,2,18490,10192,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_25rep_2_BlockerPercent_20_24-08-15-23-51-37/step-00700.pickle,1161,21341,0,18866,7835,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_26rep_2_BlockerPercent_25_24-08-16-00-05-41/step-00700.pickle,1181,18837,0,14207,14959,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_27rep_2_BlockerPercent_30_24-08-16-00-19-41/step-00700.pickle,1089,17257,10,13582,17121,0
